City,State,Pop,Size
Evanston ,IL,"77,693",4
Baldwin Park ,CA,"77,380",4
Melbourne ,FL,"77,351",4
Longview ,TX,"77,211",4
Bend ,OR,"77,181",4
Merced ,CA,"77,160",4
O'Fallon ,MO,"76,819",4
Hammond ,IN,"76,732",4
Decatur ,IL,"76,256",4
Jacksonville ,NC,"76,233",4
St. Joseph ,MO,"76,197",4
Albany ,GA,"75,831",4
Somerville ,MA,"75,662",4
Lake Forest ,CA,"75,566",4
Southfield ,MI,"75,392",4
Missouri City ,TX,"74,723",4
Deerfield Beach ,FL,"74,584",4
Napa ,CA,"74,547",4
Asheville ,NC,"74,543",4
New Rochelle ,NY,"74,115",4
Redwood City ,CA,"74,060",4
Chino Hills ,CA,"73,879",4
Arlington Heights,IL,"73,399",4
Fayetteville ,AR,"73,372",4
Medford ,OR,"73,212",4
Bellflower ,CA,"73,033",4
Bloomington ,IL,"73,026",4
Youngstown ,OH,"72,925",4
Largo ,FL,"72,732",4
St. George ,UT,"72,718",4
Lynchburg ,VA,"72,596",4
Wilmington ,DE,"72,592",4
Gastonia ,NC,"72,505",4
Bryan ,TX,"72,357",4
Palm Coast ,FL,"72,316",4
Bethlehem ,PA,"72,241",4
Scranton ,PA,"72,233",4
Kalamazoo ,MI,"72,179",4
Union City ,CA,"72,123",4
Upland ,CA,"72,091",4
Santa Fe ,NM,"71,831",4
Bloomington ,IN,"71,819",4
Tustin ,CA,"71,814",4
Pawtucket ,RI,"71,765",4
Schaumburg,IL,"71,716",4
Edinburg ,TX,"71,520",4
Plymouth ,MN,"71,486",4
Mountain View ,CA,"71,348",4
Brooklyn Park ,MN,"71,308",4
League City ,TX,"71,222",4
Lake Charles ,LA,"71,061",4
Hoover ,AL,"71,020",4
Hemet ,CA,"70,991",4
Bolingbrook,IL,"70,823",4
Alameda ,CA,"70,580",4
New Britain ,CT,"70,486",4
Wyoming ,MI,"70,462",4
Baytown ,TX,"70,330",4
Appleton ,WI,"70,305",4
Lorain ,OH,"70,239",4
Apple Valley,CA,"70,200",4
Gulfport ,MS,"70,055",4
Lynwood ,CA,"70,025",4
Lawrence ,MA,"70,014",4
Redlands ,CA,"69,689",4
Flower Mound,TX,"69,307",4
Rochester Hills ,MI,"69,014",4
Fishers,IN,"69,011",4
Mount Vernon ,NY,"68,653",4
Turlock ,CA,"68,404",4
Boynton Beach ,FL,"68,291",4
Missoula ,MT,"68,202",4
Springdale ,AR,"68,180",4
Waukesha ,WI,"68,008",4
Iowa City ,IA,"67,831",4
Folsom ,CA,"67,788",4
Marietta ,GA,"67,562",4
Milpitas ,CA,"67,503",4
Rock Hill ,SC,"67,339",4
Mission ,TX,"67,119",4
Palatine,IL,"67,080",4
Lauderhill ,FL,"67,073",4
St. Cloud ,MN,"66,948",4
Kenner ,LA,"66,942",4
Meridian ,ID,"66,916",4
Passaic ,NJ,"66,884",4
Redondo Beach ,CA,"66,882",4
Pleasanton ,CA,"66,828",4
Carmel ,IN,"66,769",4
Waterloo ,IA,"66,662",4
Skokie,IL,"66,620",4
Dothan ,AL,"66,505",4
Concord ,NC,"66,311",4
Pontiac ,MI,"66,095",4
Yorba Linda ,CA,"65,717",4
Loveland ,CO,"65,587",4
Layton ,UT,"65,514",4
Rapid City ,SD,"65,491",4
Mount Pleasant,SC,"65,472",4
Eau Claire ,WI,"65,426",4
Fort Myers ,FL,"65,394",4
East Orange ,NJ,"65,390",4
Pharr ,TX,"65,258",4
North Richland Hills ,TX,"65,078",4
Manteca ,CA,"65,028",4
Muncie ,IN,"64,975",4
Harlingen ,TX,"64,843",4
Laguna Niguel ,CA,"64,469",4
St. Charles ,MO,"64,386",4
Daytona Beach ,FL,"64,211",4
Pittsburg ,CA,"64,148",4
Delray Beach ,FL,"64,092",4
Lafayette ,IN,"64,049",4
Eagan ,MN,"63,985",4
Jonesboro ,AR,"63,960",4
Oshkosh ,WI,"63,679",4
Weston ,FL,"63,628",4
Walnut Creek ,CA,"63,486",4
